Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
1,1.72106E+12,15/07/2024 15:39,1.72106E+12,1,15/07/2024 16:39,183183,5,task-cj2d,,38979078,2,11344869,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1280x800,1280x679,,,,SLS,2,schedule_A,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.72106E+12,15/07/2024 15:39,1.72106E+12,1,15/07/2024 16:39,183183,5,task-cj2d,,38979078,2,11344869,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1280x800,1280x679,,,,SLS,2,schedule_A,schedule_A,1,1,1,Screen 1,Zone1,continue_button,1689.699999988079,,,,,0,1,0,,,,,,getReady,,,,,1,,,,,,,,,,,,,,,,
3,1.72106E+12,15/07/2024 15:39,1.72106E+12,1,15/07/2024 16:39,183183,5,task-cj2d,,38979078,2,11344869,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1280x800,1280x679,,,,SLS,2,schedule_A,schedule_A,1,1,2,Screen 2,Zone1,continue_button,1478.800000011921,,,,,0,1,0,,,,,,getReady,,,,,1,,,,,,,,,,,,,,,,
4,1.72106E+12,15/07/2024 15:39,1.72106E+12,1,15/07/2024 16:39,183183,5,task-cj2d,,38979078,2,11344869,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1280x800,1280x679,,,,SLS,2,schedule_A,schedule_A,2,1,1,Screen 1,Zone1,continue_button,4192,,,,,0,1,0,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
5,1.72106E+12,15/07/2024 15:39,1.72106E+12,1,15/07/2024 16:39,183183,5,task-cj2d,,38979078,2,11344869,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1280x800,1280x679,,,,SLS,2,schedule_A,schedule_A,2,1,2,individual,Zone4,timelimit_screen,999.5999999999995,,,,,0,1,0,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
6,1.72106E+12,15/07/2024 15:39,1.72106E+12,1,15/07/2024 16:39,183183,5,task-cj2d,,38979078,2,11344869,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1280x800,1280x679,,,,SLS,2,schedule_A,schedule_A,2,1,3,offer,Zone3,response_button_image,2638.2000000476837,,,redBox.png,1,1,0,0,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
7,1.72106E+12,15/07/2024 15:39,1.72106E+12,1,15/07/2024 16:39,183183,5,task-cj2d,,38979078,2,11344869,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1280x800,1280x679,,,,SLS,2,schedule_A,schedule_A,2,1,5,feedback_r,Zone7,timelimit_screen,2000.1000000000004,,,,,0,1,0,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
8,1.72106E+12,15/07/2024 15:39,1.72106E+12,1,15/07/2024 16:39,183183,5,task-cj2d,,38979078,2,11344869,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1280x800,1280x679,,,,SLS,2,schedule_A,schedule_A,2,1,6,end,Zone1,timelimit_screen,150.10000000000036,,,,,0,1,0,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
9,1.72106E+12,15/07/2024 15:39,1.72106E+12,1,15/07/2024 16:39,183183,5,task-cj2d,,38979078,2,11344869,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1280x800,1280x679,,,,SLS,2,schedule_A,schedule_A,3,1,1,Screen 1,Zone1,continue_button,2317.800000011921,,,,,0,1,0,,,,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
10,1.72106E+12,15/07/2024 15:39,1.72106E+12,1,15/07/2024 16:39,183183,5,task-cj2d,,38979078,2,11344869,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1280x800,1280x679,,,,SLS,2,schedule_A,schedule_A,3,1,2,individual,Zone4,timelimit_screen,999.8999999999996,,,,,0,1,0,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
